beta,gamma,K,s,omega,mu_AV,mu_VA,pa,alpha
0.431372549019608,0.0980392156862745,10000,-0.61,0.39,0.01453918,0.0036,0.799802761341223,4.03866111111111
0.431372549019608,0.0980392156862745,10000,-0.91,0.09,0.02264042,0.0032,0.799802761341223,7.07513125
