beta,gamma,K,s,mu_AV,mu_VA,pa,alpha,omega
0.215686274509804,0.0980392156862745,10000,-0.1,0.00176014703051585,0.0016,0.85123338,1.10009189407241,0.9
0.215686274509804,0.0980392156862745,10000,-0.9,0.0154352822492806,0.0016,0.85123338,9.6470514058004,0.1
0.215686274509804,0.0980392156862745,10000,-0.1,0.000576869901623702,0.0016,0.95,0.360543688514814,0.9
0.215686274509804,0.0980392156862745,10000,-0.9,0.00470385943299889,0.0016,0.95,2.9399121456243,0.1
